name,display_name,publisher,repo,git_path,stars,license,archived,skills,mcp_servers,commands,rules,agents,hooks,cursor_manifest,agent_plugins_portable,portability_established,runs_in_claude,runs_in_codex,runs_in_copilot,runs_in_grok,runs_in_antigravity,runs_in_opencode,runs_in_kimi,runs_in_hermes,runs_in_devin,runs_in_tessl,runs_in_cortex,runs_in_minimax,runs_in_qoder,sign_in,sign_in_evidence,install,marketplace_url,install_verified,first_seen
azure,Azure,Azure,microsoft/azure-skills,.github/plugins/azure-skills,1434,MIT,false,27,1,0,0,0,1,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin azure,https://cursor.com/marketplace/azure,true,2026-08-25
atlassian,Atlassian,Atlassian,atlassian/atlassian-mcp-server,.,1004,Apache-2.0,false,6,1,0,0,0,0,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin atlassian,https://cursor.com/marketplace/atlassian/atlassian,true,2026-08-25
amazon-location-service,Amazon Location Service,AWS,awslabs/agent-plugins,plugins/amazon-location-service,876,Apache-2.0,false,1,1,0,0,0,0,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin amazon-location-service,https://cursor.com/marketplace/aws/amazon-location-service,true,2026-08-25
aws-amplify,AWS Amplify,AWS,awslabs/agent-plugins,plugins/aws-amplify,876,Apache-2.0,false,1,1,0,0,0,0,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin aws-amplify,https://cursor.com/marketplace/aws/aws-amplify,true,2026-08-25
aws-serverless,AWS Serverless,AWS,awslabs/agent-plugins,plugins/aws-serverless,876,Apache-2.0,false,6,1,0,0,0,1,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin aws-serverless,https://cursor.com/marketplace/aws/aws-serverless,true,2026-08-25
databases-on-aws,AWS Databases,AWS,awslabs/agent-plugins,plugins/databases-on-aws,876,Apache-2.0,false,1,2,0,0,0,1,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,none,unauthenticated initialize returns a JSON-RPC result,/add-plugin databases-on-aws,https://cursor.com/marketplace/aws/databases-on-aws,true,2026-08-25
deploy-on-aws,AWS Deployments,AWS,awslabs/agent-plugins,plugins/deploy-on-aws,876,Apache-2.0,false,3,3,0,0,0,1,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,none,unauthenticated initialize returns a JSON-RPC result,/add-plugin deploy-on-aws,https://cursor.com/marketplace/aws/deploy-on-aws,true,2026-08-25
sagemaker-ai,AWS SageMaker,AWS,awslabs/agent-plugins,plugins/sagemaker-ai,876,Apache-2.0,false,19,1,0,0,0,0,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin sagemaker-ai,https://cursor.com/marketplace/aws/sagemaker-ai,true,2026-08-25
link,Link,Stripe Link,stripe/link-cli,plugins/cursor-link,746,MIT,false,2,1,0,0,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin link,https://cursor.com/marketplace/stripe-link,true,2026-08-25
treg,Treg,Superdesign,superdesigndev/treg,plugins/treg,709,NOASSERTION,false,1,0,0,0,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin treg,https://cursor.com/marketplace/superdesign/treg,true,2026-08-25
kraken-cli,Kraken,Kraken,krakenfx/kraken-cli,.,702,MIT,false,51,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin kraken-cli,https://cursor.com/marketplace/kraken,true,2026-08-25
dbt,dbt Labs,dbt Labs,dbt-labs/dbt-agent-skills,skills/dbt,695,Apache-2.0,false,9,0,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin dbt,https://cursor.com/marketplace/dbt-labs,true,2026-08-25
shopify-plugin,Shopify,Shopify,Shopify/Shopify-AI-Toolkit,.,524,MIT,false,21,0,0,0,0,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin shopify-plugin,https://cursor.com/marketplace/shopify,true,2026-08-25
revyl,Revyl,Revyl,RevylAI/revyl-cli,cursor-plugin,509,,false,6,0,0,1,0,2,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin revyl,https://cursor.com/marketplace/revyl,true,2026-08-25
superdesign,Superdesign,Superdesign,superdesigndev/superdesign-skill,.,488,MIT,false,1,0,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin superdesign,https://cursor.com/marketplace/superdesign/superdesign,true,2026-08-25
firebase,Firebase,Firebase,firebase/agent-skills,.,430,Apache-2.0,false,11,1,0,0,0,0,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin firebase,https://cursor.com/marketplace/firebase,true,2026-08-25
astronomer-data,Astronomer,Astronomer,astronomer/agents,.,429,Apache-2.0,false,21,0,0,0,0,2,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin astronomer-data,https://cursor.com/marketplace/astronomer,true,2026-08-25
monday-crm,Monday.com,Monday.com,mondaycom/mcp,plugins/monday-crm,421,MIT,false,7,1,0,0,0,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin monday-crm,https://cursor.com/marketplace/monday,true,2026-08-25
heygen,HeyGen,HeyGen,heygen-com/skills,.,416,MIT,false,3,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin heygen,https://cursor.com/marketplace/heygen,true,2026-08-25
zapier,Zapier,Zapier,zapier/zapier-mcp,plugins/zapier,395,MIT,false,3,1,0,1,0,0,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin zapier,https://cursor.com/marketplace/zapier,true,2026-08-25
railway,Railway,Railway,railwayapp/railway-skills,plugins/railway,319,MIT,false,1,1,0,0,0,1,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin railway,https://cursor.com/marketplace/railway,true,2026-08-25
svelte,Svelte,Svelte,sveltejs/ai-tools,plugins/cursor/svelte,314,MIT,false,2,1,0,1,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin svelte,https://cursor.com/marketplace/svelte,true,2026-08-25
amd-skills,AMD,AMD,amd/skills,.,309,MIT,false,5,0,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin amd-skills,https://cursor.com/marketplace/amd,true,2026-08-25
databricks,Databricks,Databricks,databricks/databricks-agent-skills,plugins/databricks/cursor,289,NOASSERTION,false,10,0,2,2,0,2,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin databricks,https://cursor.com/marketplace/databricks,true,2026-08-25
vercel,Vercel,Vercel,vercel/vercel-plugin,.,270,NOASSERTION,false,33,1,5,0,0,2,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin vercel,https://cursor.com/marketplace/vercel,true,2026-08-25
langfuse,Langfuse,Langfuse,langfuse/skills,.,264,MIT,false,1,0,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin langfuse,https://cursor.com/marketplace/langfuse,true,2026-08-25
dataverse,Microsoft Dataverse,Microsoft Dataverse,microsoft/Dataverse-skills,.github/plugins/dataverse,214,MIT,false,8,0,0,0,0,0,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin dataverse,https://cursor.com/marketplace/microsoft-dataverse,true,2026-08-25
dagster-expert,Dagster,Dagster,dagster-io/skills,skills/dagster-expert,200,Apache-2.0,false,1,0,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin dagster-expert,https://cursor.com/marketplace/dagster,true,2026-08-25
meta-vr,Meta Reality Labs,Meta Reality Labs,meta-quest/agentic-tools,.,187,Apache-2.0,false,29,1,0,0,0,1,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin meta-vr,https://cursor.com/marketplace/meta-reality-labs,true,2026-08-25
mongodb,MongoDB,MongoDB,mongodb/agent-skills,plugins/mongodb,181,Apache-2.0,false,7,1,0,0,0,0,true,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin mongodb,https://cursor.com/marketplace/mongodb/mongodb,true,2026-08-25
mongodb-atlas,MongoDB Atlas,MongoDB,mongodb/agent-skills,plugins/mongodb-atlas,181,Apache-2.0,false,6,1,0,0,0,0,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin mongodb-atlas,https://cursor.com/marketplace/mongodb/mongodb-atlas,true,2026-08-25
sanity,Sanity,Sanity,sanity-io/agent-toolkit,.,180,MIT,false,4,1,4,0,0,0,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin sanity,https://cursor.com/marketplace/sanity,true,2026-08-25
app-builder,Adobe Developer App Builder,Adobe Developer App Builder,adobe/skills,plugins/app-builder,175,Apache-2.0,false,6,0,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin app-builder,https://cursor.com/marketplace/adobe,true,2026-08-25
resend,Resend,Resend,resend/resend-skills,.,168,MIT,false,5,1,0,0,0,0,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin resend,https://cursor.com/marketplace/resend,true,2026-08-25
miro,Miro,Miro,miroapp/miro-ai,cursor-plugins/miro,150,MIT,false,1,1,5,0,0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin miro,https://cursor.com/marketplace/miro,true,2026-08-25
circle,Circle,Circle,circlefin/skills,plugins/circle,145,Apache-2.0,false,9,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,none,unauthenticated initialize returns a JSON-RPC result,/add-plugin circle,https://cursor.com/marketplace/circle,true,2026-08-25
redis-development,Redis,Redis,redis/agent-skills,skills/redis-development,132,MIT,false,1,0,0,37,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin redis-development,https://cursor.com/marketplace/redis,true,2026-08-25
dynatrace,Dynatrace,Dynatrace,Dynatrace/dynatrace-for-ai,.,131,Apache-2.0,false,30,1,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,self-hosted,endpoint is a template you fill in with your own instance,/add-plugin dynatrace,https://cursor.com/marketplace/dynatrace,true,2026-08-25
webflow,Webflow,Webflow,webflow/webflow-skills,.,114,MIT,false,22,1,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin webflow,https://cursor.com/marketplace/webflow,true,2026-08-25
convex,Convex,Convex,get-convex/convex-agent-plugins,.,112,MIT,false,7,1,0,19,0,1,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin convex,https://cursor.com/marketplace/convex,true,2026-08-25
slack,Slack,Slack,slackapi/slack-skills-plugin,.,109,MIT,false,6,1,5,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin slack,https://cursor.com/marketplace/slack,true,2026-08-25
sonarqube,SonarQube,SonarSource,SonarSource/sonarqube-agent-plugins,.,101,NOASSERTION,false,9,1,0,0,0,0,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin sonarqube,https://cursor.com/marketplace/sonarsource,true,2026-08-25
githits,GitHits,GitHits,githits-com/githits-cli,plugins/claude,88,Apache-2.0,false,2,1,6,0,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,unknown,no MCP configuration found in the source repo,/add-plugin githits,https://cursor.com/marketplace/githits,true,2026-08-25
neon-postgres,Neon Postgres,Neon,neondatabase/agent-skills,plugins/neon-postgres,84,Apache-2.0,false,8,1,0,0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin neon-postgres,https://cursor.com/marketplace/neon,true,2026-08-25
canva,Canva,Canva,canva-sdks/canva-skills,plugins/canva,82,Apache-2.0,false,6,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin canva,https://cursor.com/marketplace/canva,true,2026-08-25
posthog,PostHog,PostHog,PostHog/ai-plugin,.,80,,false,73,1,3,0,0,2,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin posthog,https://cursor.com/marketplace/posthog,true,2026-08-25
subtext,Subtext,Subtext,fullstorydev/subtext,.,78,,false,10,2,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin subtext,https://cursor.com/marketplace/subtext,true,2026-08-25
revenuecat,RevenueCat,RevenueCat,RevenueCat/ai-toolkit,revenuecat,63,MIT,false,14,1,0,0,0,0,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin revenuecat,https://cursor.com/marketplace/revenuecat/revenuecat,true,2026-08-25
revenuecat-play-billing,RevenueCat Play Billing,RevenueCat,RevenueCat/ai-toolkit,revenuecat-play-billing,63,MIT,false,20,0,0,0,0,0,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin revenuecat-play-billing,https://cursor.com/marketplace/revenuecat/revenuecat-play-billing,true,2026-08-25
snyk-secure-development,Snyk,Snyk,snyk/studio-recipes,plugins/cursor,62,Apache-2.0,false,1,1,2,0,0,2,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,local,"runs locally over stdio, no key declared",/add-plugin snyk-secure-development,https://cursor.com/marketplace/snyk/snyk-secure-development,true,2026-08-25
inkbox,Inkbox,Inkbox,inkbox-ai/inkbox,.,58,MIT,false,0,1,0,0,0,0,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,oauth,unauthenticated initialize returns 401 with protected-resource metadata that resolves,/add-plugin inkbox,https://cursor.com/marketplace/inkbox,true,2026-08-31
revolut-x,Revolut X,Revolut,revolut-engineering/revolut-x-api,.,58,MIT,false,7,0,0,0,0,0,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,skills-only,no MCP server component,/add-plugin revolut-x,https://cursor.com/marketplace/revolut,true,2026-08-25
